Pull Request Number,Title,Merged,Time to Merge,Comments,Review Comments,Comment Messages,Review Messages,Lines of Code Changed
145,Bump jackrabbit-webdav from 1.5.2 to 2.21.8,No,,1,0,[],[],2
144,Bump spotbugs-maven-plugin from 4.2.3 to 4.4.1,No,,1,0,[],[],2
143,Update tests to hamcrest v2.2,Yes,"175 days, 5:52:19",0,0,[],[],13
142,Replace DummyLayout with mocking object and improve test design,No,,1,0,[],[],43
141,Make final variable.,Yes,"188 days, 19:42:44",0,0,[],['LGTM'],10
140,Simplify conditions and avoid extra checks.,Yes,"251 days, 22:08:57",0,0,[],['Looks good! Thanks for the PR.'],13
139,Replace test asserts by simpler but equivalent calls.,Yes,"188 days, 19:53:39",0,0,[],[],148
138,Bump spring.version from 4.3.30.RELEASE to 5.3.9,No,,1,0,[],[],2
137,CONFIGURATION-808 - DefaultListDelimiterHandler.escapeList working only for List<String>,Yes,"6 days, 7:18:12",0,0,[],[],10
136,Bump slf4j.version from 1.7.30 to 1.7.32,No,,1,0,[],[],2
135,Bump spotbugs-maven-plugin from 4.2.3 to 4.3.0,No,,2,0,[],[],2
134,Bump jackson-databind from 2.12.3 to 2.12.4,No,,1,0,[],[],2
133,Bump jackrabbit-webdav from 1.5.2 to 2.21.7,No,,1,0,[],[],2
132,Bump checkstyle from 8.43 to 8.44,Yes,"22 days, 21:16:48",0,0,[],[],2
131,Simplify conditions and avoid extra checks.,No,,0,0,[],[],20
130,Use diamond <>,No,,2,0,[],[],86
129,Replace assert by simpler but equivalent calls.,No,,2,0,[],[],156
128,Bump hsqldb from 2.5.1 to 2.5.2,Yes,0:15:44,1,0,[],[],2
127,Bump jackson-databind from 2.12.2 to 2.12.3,Yes,0:05:12,0,0,[],[],4
126,Bump snakeyaml from 1.28 to 1.29,Yes,0:13:25,0,0,[],[],4
125,Bump slf4j.version from 1.7.30 to 1.7.31,No,,1,0,[],[],4
124,Bump commons-pool2 from 2.9.0 to 2.10.0,Yes,0:02:16,0,0,[],[],4
123,Bump spring.version from 4.3.30.RELEASE to 5.3.8,No,,3,0,[],[],2
122,CONFIGURATION-808 - DefaultListDelimiterHandler.escapeList working only for List<String>,No,,6,0,[],[],433
121,Bump checkstyle from 8.41 to 8.43,Yes,"26 days, 9:36:53",1,0,[],[],2
120,Bump actions/cache from 2.1.4 to 2.1.6,Yes,"29 days, 8:19:27",0,0,[],[],2
119,Bump actions/cache from 2.1.4 to 2.1.5,No,,1,0,[],[],2
118,[COMMONSSITE-145] Upgrade checkstyle,Yes,"47 days, 23:29:31",0,0,[],[],4
117,Bump checkstyle from 8.41 to 8.42,No,,1,0,[],[],2
116,Bump spotbugs-maven-plugin from 4.2.0 to 4.2.3,Yes,"68 days, 8:47:35",0,0,[],[],2
115,CONFIGURATION-806 - Replace construction of FileInputStream and FileOutputStream objects with Files NIO APIs.,No,,2,0,[],[],0
114,CONFIGURATION-805 - Use try with resource,Yes,"71 days, 9:21:07",2,0,[],[],45
113,CONFIGURATION-804 - Redundant local variable,Yes,"71 days, 9:27:46",2,0,[],[],40
112,CONFIGURATION-803 Java 8 lambda improvements and more,Yes,"71 days, 9:35:11",2,0,[],[],108
111,CONFIGURATION-802 - Use final,Yes,"71 days, 9:41:44",2,0,[],[],74
110,CONFIGURATION-801 - Remove redundant initializer,Yes,"71 days, 9:52:37",2,0,[],[],10
109,Bump jackrabbit-webdav from 1.5.2 to 2.21.6,No,,1,0,[],[],2
108,Bump actions/cache from v2.1.4 to v2.1.5,No,,1,0,[],[],2
107,Bump mailapi from 1.6.6 to 2.0.1,No,,6,13,"[""In the tests, I think it doesn't make sense to support javax and jakarta, since mailapi is bringing javamail 2.x with the Jakarta namespace."", 'Are we hitting both paths in that `try-catch` during the unit tests?', ""No, only the Jakarta path. I started modifying the test to create a test object using javax.mail too, but then I couldn't find a clear way to load the javax.mail into the classpath. `mailapi` has a different package structure for the mail part, but it also has a common `com.sun.mail` part…\r\n\r\nAdding two versions of the `mailapi` results in only the last dependency being added by Maven, and doesn't really sound like a good idea.\r\n\r\nMaybe we should leave it as it is until we decide to drop javax.mail and support only jakarta.mail, or leave it untested? Or maybe there's some other way to test with different dependencies (never had to do that). WDYT?\r\n\r\n![image](https://user-images.githubusercontent.com/304786/167767328-8638a868-6cc9-41cd-b408-ee637a0aabd3.png)\r\n"", ""Let's resolve this one way or the other before we cut a release candidate... @kinow any thoughts? As long we do not surface types from this dependency in our public or protected APIs, we should be able to change it."", ""I think this doesn't break binary backward compatibility, and doesn't add anything to the public API. It allows users to switch from `javax.mail` to `jakarta.mail` by simply changing the API implementation in their classpath. Theoretically both should work fine, but I don't know how to test both scenarios in Commons Configuration (so the test is validating only the newer `jakarta.mail` since this PR bumps 1.6.6. to 2.0.1).\r\n\r\nSo I think it should be OK to include this change in the next release. If anything happens, we can just downgrade the dependency and remove the `if/else` added in this change."", 'This needs to be a `ClassNotFoundException`.', 'I just tested this by swapping the mail api version back to 1.6.7 and running the tests. Everything passes on the old and new versions if we switch the catch to a `ClassNotFoundException` as I suggested above.', 'Ah! Good catch!', ""Changed it, rebased, push-force'd :+1: Thanks!"", 'I am not a fan of trying to support multiple versions of the same API here or anywhere in the code base.\r\nWe support one jar or the other. This seems like the same issue @kinow raised in https://github.com/apache/commons-configuration/pull/107/files#r868840083', 'So it sounds like we should just drop the javax API version. How would this change affect users upgrading from the previous version?', 'I vote we just go ahead and update to the latest here. Any objections?', ""None from me :+1: feel free to take over the PR if you'd like/have time :)""]","['', '', '', '', '', '', '', '', '', '', '', '', '', '']",37
106,Bump actions/setup-java from v1.4.3 to v2,No,,1,0,[],[],2
105,Bump checkstyle from 8.41 to 8.41.1,No,,1,0,[],[],2
104,Bump spotbugs-maven-plugin from 4.2.0 to 4.2.2,No,,1,0,[],[],2
103,Bump spring.version from 4.3.30.RELEASE to 5.3.5,No,,1,0,[],[],2
102,Bump spring.version from 4.3.30.RELEASE to 5.3.4,No,,1,0,[],[],2
101,Bump checkstyle from 8.39 to 8.41,Yes,"9 days, 7:57:13",0,0,[],[],2
100,[Javadoc] Specify that typed getList returns null for missing key,Yes,"130 days, 3:43:49",0,0,[],[],2
99,Bump actions/cache from v2 to v2.1.4,Yes,"30 days, 8:41:16",0,0,[],[],2
98,Bump checkstyle from 8.39 to 8.40,No,,1,0,[],[],2
97,Bump maven-checkstyle-plugin from 3.1.1 to 3.1.2,Yes,"37 days, 8:00:20",0,0,[],[],2
96,Bump jackrabbit-webdav from 1.5.2 to 2.21.5,No,,1,0,[],[],2
95,Bump spring.version from 4.3.30.RELEASE to 5.3.3,No,,1,0,[],[],2
94,Bump jackson-databind from 2.12.0 to 2.12.1,Yes,0:06:15,0,0,[],[],2
93,Bump spotbugs-maven-plugin from 4.1.4 to 4.2.0,Yes,"6 days, 23:57:20",0,0,[],[],2
92,Bump spring.version from 4.3.27.RELEASE to 5.3.2,No,,1,0,[],[],2
91,Minor Improvements,No,,4,18,"['You can now inline this private var.', '-1 breaks Javadoc, leave as is please.\r\n', 'Fix formatting.\r\n', '**Please do NOT break binary compatibility.**\r\n', '**Please do NOT break binary compatibility.**', '**Please do NOT break binary compatibility.**', '**Please do NOT break binary compatibility.**', '**Please do NOT break binary compatibility.**', 'static finals are in UPPER CASE by convention.\r\n', 'static finals are in UPPER CASE by convention.\r\n', 'static finals are in UPPER CASE by convention.\r\n', 'static finals are in UPPER CASE by convention.\r\n', 'static finals are in UPPER CASE by convention.\r\n', 'static finals are in UPPER CASE by convention.\r\n', 'static finals are in UPPER CASE by convention.\r\n', '@arturobernalg \r\nAgain, static finals are in UPPER CASE by convention, so `constantCache` becomes `CONSTANT_CACHE`. PLEASE, review the whole PR before submission.\r\n\r\n', 'Again, please, please, please, review ALL of your changes. If you make a static final, then the name should become UPPER CASE by convention.\r\n', 'Hi @garydgregory\r\nI have double check and it seems that they are all changed already\r\n']","[""This PR needs a lot of work and shows the limit of whatever automated tooling you are using. Binary compatibility is broken in several places and style conventions like static finals in UPPER CASE are not followed. You MUST review your changes one by one before creating a PR. You MUST also check that you are not breaking binary compatibility; which you can do with a rebase on git master and running `mvn clean install japicmp:cmp`. I've also updated in git master the GitHub build to use the Maven default goal which also checks for BC. Thank you. G.\r\n"", '', '', '']",355
90,Bump checkstyle from 8.36.2 to 8.39,Yes,"1 day, 8:24:18",0,0,[],[],2
89,Bump checkstyle from 8.36.2 to 8.38,No,,1,0,[],[],2
88,Bump jackson-databind from 2.11.3 to 2.12.0,Yes,"33 days, 7:51:08",0,0,[],[],2
87,Bump spring.version from 4.3.27.RELEASE to 5.3.1,No,,1,0,[],[],2
86,exposed settings method for list delimiter handler in DefaultConversionHandler,No,,3,0,[],[],23
85,Bump actions/checkout from v2.3.3 to v2.3.4,Yes,"59 days, 8:35:32",0,0,[],[],2
84,Bump checkstyle from 8.36.2 to 8.37,No,,1,0,[],[],2
83,Bump spring.version from 4.3.27.RELEASE to 5.3.0,No,,1,0,[],[],2
82,CONFIGURATION-795: Computation of blank lines after header comment,Yes,3:05:21,1,0,[],[],56
81,Bump mailapi from 1.6.5 to 2.0.0,No,,1,0,[],[],2
80,Bump jackrabbit-webdav from 1.5.2 to 2.21.4,No,,1,0,[],[],2
79,Bump spotbugs-maven-plugin from 4.1.3 to 4.1.4,Yes,"11 days, 9:22:11",0,0,[],[],2
78,Bump junit from 4.13 to 4.13.1,Yes,18:07:19,0,0,[],[],2
77,JUnit v4.13.1,No,,0,0,[],[],2
76,CONFIGURATION-794: add test which demonstrates unclosed file handle,No,,12,1,['This stream needs to be managed in a try-with-resources block.\r\n'],[''],32
75,Bump spotbugs-maven-plugin from 4.0.4 to 4.1.3,Yes,"5 days, 18:49:19",0,0,[],[],2
74,Implement Iterable in ImmutableNode,Yes,4:57:29,0,0,[],[],50
73,Bump actions/setup-java from v1.4.2 to v1.4.3,Yes,"5 days, 8:40:38",0,0,[],[],2
72,Bump commons-pool2 from 2.8.1 to 2.9.0,No,,1,0,[],[],2
71,Bump checkstyle from 8.36 to 8.36.2,Yes,"8 days, 8:15:45",0,0,[],[],2
70,Bump actions/checkout from v2.3.2 to v2.3.3,Yes,"12 days, 8:49:51",0,0,[],[],2
69,Bump spring.version from 4.3.27.RELEASE to 5.2.9.RELEASE,No,,1,0,[],[],2
68,Bump snakeyaml from 1.26 to 1.27,Yes,"22 days, 8:52:08",0,0,[],[],2
67,Bump checkstyle from 8.36 to 8.36.1,No,,1,0,[],[],2
66,Bump checkstyle from 8.26 to 8.36,Yes,"8 days, 10:08:06",0,0,[],[],2
65,Bump actions/setup-java from v1.4.1 to v1.4.2,Yes,"13 days, 10:02:18",0,0,[],[],2
64,Takari maven wrapper,No,,1,0,[],[],639
63,Bump actions/setup-java from v1.4.0 to v1.4.1,Yes,"8 days, 9:38:40",0,0,[],[],2
62,Bump actions/checkout from v2.3.1 to v2.3.2,Yes,9:30:17,0,0,[],[],2
61,Bump commons-pool2 from 2.8.0 to 2.8.1,Yes,"4 days, 8:50:04",0,0,[],[],2
60,Bump jackson-databind from 2.11.1 to 2.11.2,Yes,"4 days, 8:52:50",0,0,[],[],2
59,Bump checkstyle from 8.26 to 8.35,No,,1,0,[],[],2
58,Bump servlet-api from 2.4 to 2.5,Yes,"9 days, 8:59:19",0,0,[],[],2
57,Bump maven-checkstyle-plugin from 3.1.0 to 3.1.1,Yes,"9 days, 9:02:02",0,0,[],[],2
56,Bump jackrabbit-webdav from 1.5.2 to 2.21.3,No,,1,0,[],[],2
55,Bump spotbugs-maven-plugin from 3.1.12.2 to 4.0.4,Yes,7:17:03,0,0,[],[],2
54,Bump hsqldb from 2.5.0 to 2.5.1,Yes,7:21:56,0,0,[],[],2
53,Bump checkstyle from 8.26 to 8.34,No,,1,0,[],[],2
52,Bump jackrabbit-webdav from 1.5.2 to 2.21.2,No,,1,0,[],[],2
51,Bump jackson-databind from 2.11.0 to 2.11.1,Yes,"1 day, 6:27:09",1,0,[],[],2
50,Bump commons-parent from 50 to 51,Yes,"1 day, 5:08:01",0,0,[],[],2
49,Bump spring.version from 4.3.27.RELEASE to 5.2.8.RELEASE,No,,1,0,[],[],2
48,Bump mailapi from 1.6.4 to 1.6.5,Yes,"1 day, 6:29:06",1,0,[],[],2
47,Bump actions/checkout from v1 to v2.3.1,Yes,"1 day, 5:07:58",0,0,[],[],2
46,refine ci,No,,1,0,[],[],8
45,Mention EnvironmentConfiguration in the list of configuration sources,Yes,"102 days, 21:01:36",1,3,"['s/plattform/platform/', 'Sorry for the typo. @garydgregory merged it already. Should I create a new PR?', 'Yep.']","['', '', '']",4
44,Release 1 11 branch,No,,1,0,[],[],484
43,Fixed bug with FileHandlerReloadingDetector,No,,0,0,[],[],2
42,CONFIGURATION-776: Upgrade to BeanUtils2,No,,2,0,[],[],54
41,CONFIGURATION-773: User's Guide > Properties files > Saving - small documentation bugs,Yes,0:15:52,1,0,[],[],8
40,CONFIGURATION-772: Exclude unused transitive deps,No,,1,0,[],[],10
39,Exclude unused dependencies,No,,0,0,[],[],10
38,Add new Configuration called PrefixConfiguration,No,,0,2,"['Missing class comment.', 'Missing Javadoc `@since` tags on new methods.']","[""Before I even ask you to write docs for the site's user guide [1], I think I'd like to see in this PR's description a better explanation of what need this PR fills, what problem does it solve, which you can then expand upon for the docs.\r\n\r\nTY!\r\n\r\n[1] https://commons.apache.org/proper/commons-configuration/userguide/user_guide.html""]",569
37,Configuration-766: BigDecimal(double) should not be used.,No,,10,0,[],[],2
36,[CONFIGURATION-764] Default date lookup can not work for some specific,No,,5,13,"['No extra whitespace. ', 'Extra whitespace ', 'Extra whitespace ', 'Wrong since version.', 'Done', 'Done. Remove blank line.', 'I did not get it. Just same as other file. ', 'Done', 'Formatting issues above :point_up: ', ""You can leave `changes.xml` to be updated later by a committer, no need to include in this PR :+1: (it's also conflicting with `master` now, so removing it from this PR will fix that)."", ""Maybe `StringLookupAdapter` could have a parameter like `suppress=false` that's disabled by default? This class is not public, so either way is fine, we can improve on it later IMO."", 'One issue I see here is that if we suppress exceptions in the adapter, then legitimate configuration errors will not be propagated. For example, say I have a property like `current date= ${date:not-a-format}`. With the changes here, this would interpolate without error to the string `current date= ${date:not-a-format}` instead of throwing an exception about the invalid format string, as is the current behavior.', 'I think @garydgregory was referring to line 31.']","['Thank you for your PR, please see comments. Needs further review from the community. ', '', '', '', '', 'Couple comments. Thanks @NingZhang-e !', '', '']",138
35,[CONFIGURATION-760] Properties file using cyclical includes cause a StackOverflowError instead of detecting the misconfiguration.,Yes,1:38:14,1,0,[],[],209
34,[CONFIGURATION-756] Allow for custom behavior to handle errors loading included properties files.,Yes,"2 days, 0:49:02",0,0,[],[],537
33,Fix syntax in user guide documentation,Yes,"13 days, 18:41:51",0,0,[],[''],2
32,[CONFIGURATION-753] Use only first value for interpolation,No,,7,0,[],[],41
31,Adding Power Support,Yes,"5 days, 8:28:05",1,0,[],[],5
30,Add special handling for setting array properties,No,,1,0,[],[],68
29,Adding support for power,No,,1,0,[],[],3
28,Fix tests which compare against the environment,Yes,16:36:02,2,0,[],[],21
27,"[CONFIGURATION-745] Add the special key ""includeoptional"" for properties files.",Yes,20:45:36,0,0,[],['lgtm'],112
17,[CONFIGURATION-732] Fix CI build break after upgraded from Java 7 to 8.,No,,1,0,[],[],1
16,[CONFIGURATION-731] Allow user to specify the comments & separator ch…,No,,2,0,[],[],206
15,CONFIGURATION-729: fixes inconsistency in example,No,,1,0,[],[],2
14,[CONFIGURATION-715/716]: Updated the User's guide to include JupIOFac…,No,,1,0,[],[],37
13,"CONFIGURATION-715, CONFIGURATION-716: Alternative IOFactory to mimic …",No,,0,0,[],[],37
12,(doc) Fix typos in the user guides,No,,5,0,[],[],158
11,Configuration 703,No,,1,0,[],[],6
10,Fix site navigation group name for 2.x releases,No,,1,0,[],[],33
9, Add .gitignore file.,No,,2,0,[],[],18
8,pom.xml: add profile that allows build on java 9,No,,1,0,[],[],13
7,Update to easymock- to fix test failures under java 8,No,,2,0,[],[],2
6,CONFIGURATION-673: Add Automatic-Module-Name MANIFEST entry for Java …,No,,0,0,[],[],19
5,Checkstyle,No,,4,0,[],[],49
4,Proposed fix for CONFIGURATION-639,No,,1,0,[],[],2
3,CONFIGURATION-634: BasePath is incorrectly computed while init of CompositeConfiguration,No,,1,0,[],[],56
2,CONFIGURATION-634: BasePath is incorrectly computed while init of CompositeConfiguration,No,,1,0,[],[],0
